,Observation ID,Camera,Exposure Identifier,Ring Number,Exposure Time,l,b,Target,Target Type
5953,0403010101,PN,S003,22,15.821654672242,180.9731160753743,-42.0238776977348,3C 88,RADIO GALAXY RADIO LOUD TYPE 2
5954,0405490201,MOS1,S001,12,5.436205373217852,73.07290188201995,-8.977705874404505,Cygnus Loop (pos9),SNR SHELL TYPE II
5955,0405490201,PN,S003,12,3.2135815532467205,73.07290188201995,-8.977705874404505,Cygnus Loop (pos9),SNR SHELL TYPE II
5956,0404966901,MOS1,S003,20,5.499655581573481,169.2632790959626,-59.200023864308655,XMM-LSS_55,CLUSTER OF GALAXIES (NON-ABELL)
5957,0404966901,PN,S005,20,4.65654813534992,169.2632790959626,-59.200023864308655,XMM-LSS_55,CLUSTER OF GALAXIES (NON-ABELL)
5958,0403530501,MOS1,S001,19,7.50115299211207,121.79461759624762,-21.19752015913432,Bo375,LMXRB GLOBULAR CLUSTER
5959,0403530501,MOS2,S002,19,8.445704750677539,121.79461759624762,-21.19752015913432,Bo375,LMXRB GLOBULAR CLUSTER
5960,0403760301,MOS1,S024,16,23.714582692776,102.20088450467031,-60.39449386158106,UVLG03,STARBURST GALAXY
5961,0403760301,PN,S026,16,18.7933979696948,102.20088450467031,-60.39449386158106,UVLG03,STARBURST GALAXY
5962,0403530201,MOS1,S001,19,8.04362616788368,121.79461759624762,-21.19752015913432,Bo375,LMXRB GLOBULAR CLUSTER
5963,0404967601,MOS1,S003,19,10.2514378595063,167.69352034406901,-59.53674242589941,XMM-LSS_62,CLUSTER OF GALAXIES (NON-ABELL)
5964,0404967601,PN,S005,19,6.11198326243278,167.69352034406901,-59.53674242589941,XMM-LSS_62,CLUSTER OF GALAXIES (NON-ABELL)
5965,0403070801,MOS1,S001,11,12.2909582538541,291.14678803477443,-15.35794891983285,NGC 3059,AGN UNCLASSIFIED
5966,0404967401,MOS1,S003,20,13.916164341566999,168.70154962810219,-59.11525247975088,XMM-LSS_60,CLUSTER OF GALAXIES (NON-ABELL)
5967,0404967401,PN,S005,20,11.063032638849,168.70154962810219,-59.11525247975088,XMM-LSS_60,CLUSTER OF GALAXIES (NON-ABELL)
5968,0402781001,MOS1,S001,8,15.992441646412802,0.2505136020231025,48.221356551806466,J150754.38+010816.7,RADIO GALAXY RADIO LOUD TYPE 1
5969,0402781001,PN,S003,8,11.0574134036661,0.2505136020231025,48.221356551806466,J150754.38+010816.7,RADIO GALAXY RADIO LOUD TYPE 1
5970,0405020601,MOS1,S001,20,14.181722501449599,136.28990053847718,39.463096371153576,NGC 3147,SEYFERT RADIO QUIET TYPE 2
5971,0405020601,MOS2,S002,20,14.541630671210001,136.28990053847718,39.463096371153576,NGC 3147,SEYFERT RADIO QUIET TYPE 2
5972,0402320201,MOS1,S001,22,7.0356530899152006,184.9456902810357,-42.31987790249941,SDSS J0334+0006,NL SEYFERT 1 RADIO QUIET
5973,0402320201,PN,S003,22,3.88314929876775,184.9456902810357,-42.31987790249941,SDSS J0334+0006,NL SEYFERT 1 RADIO QUIET
5974,0402460401,MOS1,U002,7,21.264566094705103,358.5767228666686,-47.424610400274105,,SEYFERT RADIO QUIET TYPE 2
5975,0402460401,PN,S006,7,13.7581280301842,358.5767228666686,-47.424610400274105,,SEYFERT RADIO QUIET TYPE 2
5976,0404960601,MOS1,S003,20,9.426073836044038,170.16878681523696,-58.46961039539414,XMM-LSS_22,CLUSTER OF GALAXIES (NON-ABELL)
5977,0404960601,PN,S005,20,5.56010007805217,170.16878681523696,-58.46961039539414,XMM-LSS_22,CLUSTER OF GALAXIES (NON-ABELL)
5978,0404050301,MOS1,S001,16,6.341575036881861,103.17714027174469,49.08873148128668,3C 305,RADIO GALAXY RADIO LOUD/STEEP SPECT TYPE 2
5979,0404960301,MOS1,S001,20,5.453482541581191,169.48860777852718,-57.02432773325807,XMM-LSS_17,CLUSTER OF GALAXIES (NON-ABELL)
5980,0404960301,PN,S003,20,3.5245723445496897,169.48860777852718,-57.02432773325807,XMM-LSS_17,CLUSTER OF GALAXIES (NON-ABELL)
5981,0404968301,MOS1,S003,20,8.85070946006818,167.8833796006071,-58.60006368619076,XMM-LSS_69,UNDEFINED
5982,0404968301,PN,S005,20,5.38897276946017,167.8833796006071,-58.60006368619076,XMM-LSS_69,UNDEFINED
5983,0405210201,MOS1,S001,26,19.9170176365552,193.60426709092084,-12.476197812508815,Barnard30-South,STAR FORMING REGION
5984,0404966301,MOS1,S003,19,11.109319256844302,171.02191952334962,-59.97216651293599,XMM-LSS_49,CLUSTER OF GALAXIES (NON-ABELL)
5985,0404966301,PN,S005,19,8.209097800613339,171.02191952334962,-59.97216651293599,XMM-LSS_49,CLUSTER OF GALAXIES (NON-ABELL)
5986,0404190201,MOS1,S001,10,48.6258142641869,51.37698041111558,-42.03706776857176,CNOC2 Field 2,CLUSTER OF GALAXIES (NON-ABELL)
5987,0404190201,PN,S003,10,38.5962204342688,51.37698041111558,-42.03706776857176,CNOC2 Field 2,CLUSTER OF GALAXIES (NON-ABELL)
5988,0406740101,MOS1,S001,25,13.5565343010308,180.92150888894423,29.08942285982632,FBQS J075800.0+3920,QSO RADIO QUIET TYPE 1
5989,0406740101,PN,S003,25,9.8627590579288,180.92150888894423,29.08942285982632,FBQS J075800.0+3920,QSO RADIO QUIET TYPE 1
5990,0404800101,MOS1,S001,7,24.123442734741698,23.813757842925,41.310829512480886,GRB 050813,GAMMA RAY BURSTS
5991,0404800101,PN,S003,7,17.7443142202955,23.813757842925,41.310829512480886,GRB 050813,GAMMA RAY BURSTS
5992,0405950401,MOS1,S001,21,24.8376736035569,220.0960122469939,-31.996222640678678,IRAS F05024-1941,IR GALAXY
5993,0405950401,PN,S002,21,15.050500846726802,220.0960122469939,-31.996222640678678,IRAS F05024-1941,IR GALAXY
5994,0404969201,MOS1,S003,20,6.3138457834885315,173.30772096169292,-58.78730551547963,XMM-LSS_35,UNDEFINED
5995,0404969201,PN,S005,20,2.18452657072174,173.30772096169292,-58.78730551547963,XMM-LSS_35,UNDEFINED
5996,0405090101,MOS1,S001,13,88.39488996004101,283.3585364918763,-44.64445100366182,NGC1313,SPIRAL GALAXY BARRED
5997,0405090101,PN,S003,13,63.6178142174646,283.3585364918763,-44.64445100366182,NGC1313,SPIRAL GALAXY BARRED
5998,0403110501,MOS1,S001,1,14.7357105501865,1.7231072265882654,-10.269783562595023,NGC 6637,LMXRB GLOBULAR CLUSTER BURSTER SOFT TRANSIENT
5999,0403110501,PN,U002,1,8.17966999093167,1.7231072265882654,-10.269783562595023,NGC 6637,LMXRB GLOBULAR CLUSTER BURSTER SOFT TRANSIENT
6000,0405550301,MOS1,S001,8,10.808912079637,317.21092379593966,-25.80049878784532,RXCJ1840.6-7709,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
