,Observation ID,Camera,Exposure Identifier,Exposure Time,l,b,Target,Target Type
5394,0148090101,MOS2,S003,2.41202991068188,3.3455136579041107,-0.33698571148598044,V4643 Sgr,CV CLASSICAL NOVA
5395,0148090101,PN,S001,1.02221800924889,3.3455136579041107,-0.33698571148598044,V4643 Sgr,CV CLASSICAL NOVA
5396,0140950601,MOS1,S001,10.585363405394501,270.658631407328,29.889175526588513,,SEYFERT RADIO QUIET TYPE 2
5397,0140950601,MOS2,S002,10.4167796120806,270.658631407328,29.889175526588513,,SEYFERT RADIO QUIET TYPE 2
5398,0140950601,PN,S003,7.398007099968759,270.658631407328,29.889175526588513,,SEYFERT RADIO QUIET TYPE 2
5399,0140550601,MOS1,S001,21.0084554683332,225.1178373201152,49.12056520225813,PG 1004+130,QSO RADIO LOUD
5400,0140550601,MOS2,S002,20.625155502690397,225.1178373201152,49.12056520225813,PG 1004+130,QSO RADIO LOUD
5401,0140550601,PN,S003,17.2393317232418,225.1178373201152,49.12056520225813,PG 1004+130,QSO RADIO LOUD
5402,0146870501,MOS1,S001,3.2769822367390504,206.1511147616814,-1.0426265289159578,SAX J0635+0521,GAMMA RAY SOURCE
5403,0146870501,MOS2,S002,3.7408376815407403,206.1511147616814,-1.0426265289159578,SAX J0635+0521,GAMMA RAY SOURCE
5404,0147570601,MOS1,S001,11.9500034248394,69.33387657845509,67.56743649487483,IRAS F14218+3845,IR GALAXY
5405,0147570601,PN,S003,9.69851115615152,69.33387657845509,67.56743649487483,IRAS F14218+3845,IR GALAXY
5406,0143150301,MOS1,U003,0.900851950994014,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5407,0143150301,MOS1,S001,5.9999429047635005,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5408,0143150301,MOS1,U002,3.10386288859434,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5409,0143150301,MOS2,S002,5.9383265764745605,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5410,0143150301,MOS2,U003,0.115958966880381,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5411,0143150301,PN,S003,3.3928660324552102,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5412,0143150301,PN,U002,2.26968361532651,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5413,0143150301,PN,U015,0.167887439795837,164.58061829065633,42.41012123792803,SBS 0909+532,QSO
5414,0143200101,MOS1,S001,1.24170591679799,138.86686949750822,-2.1529679057102244,HD17638,WOLF RAYET STAR WC6
5415,0147920301,MOS1,S002,20.8226058321933,249.70606315055758,28.78087381315469,NGC 2992,SEYFERT RADIO QUIET TYPE 2
5416,0147920301,MOS2,S003,21.1103556390167,249.70606315055758,28.78087381315469,NGC 2992,SEYFERT RADIO QUIET TYPE 2
5417,0147920301,PN,S001,17.8956282443754,249.70606315055758,28.78087381315469,NGC 2992,SEYFERT RADIO QUIET TYPE 2
5418,0148620101,MOS1,S002,13.6042229316249,65.18512490896971,70.06353409902883,ClJ1415.1+3612,CLUSTER OF GALAXIES
5419,0148620101,MOS2,S003,13.4903301385707,65.18512490896971,70.06353409902883,ClJ1415.1+3612,CLUSTER OF GALAXIES
5420,0148620101,PN,S001,9.11958026807337,65.18512490896971,70.06353409902883,ClJ1415.1+3612,CLUSTER OF GALAXIES
5421,0148000301,MOS1,S001,1.4158089705817098,266.98630350133703,-41.9962596297284,1H 0419-577,SEYFERT
5422,0148000301,MOS2,S002,1.2981728173579299,266.98630350133703,-41.9962596297284,1H 0419-577,SEYFERT
5423,0147420201,MOS1,S003,4.85791836572406,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5424,0147420201,MOS2,S006,4.80247506884232,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5425,0147420201,PN,S002,2.20752594435069,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5426,0143653901,MOS1,S001,3.43103532575614,162.1166596663244,36.73880787839579,AXJ0836.3+5538,SEYFERT
5427,0143653901,MOS2,S002,3.5999669747877103,162.1166596663244,36.73880787839579,AXJ0836.3+5538,SEYFERT
5428,0143653901,PN,S003,1.6148820697103399,162.1166596663244,36.73880787839579,AXJ0836.3+5538,SEYFERT
5429,0143650101,MOS1,S001,5.09802613819998,37.71488633035483,53.896715306114274,AXJ1531.9+2420,SEYFERT
5430,0143650101,MOS2,S002,5.2135906998504495,37.71488633035483,53.896715306114274,AXJ1531.9+2420,SEYFERT
5431,0143650101,PN,S003,3.1241903057915303,37.71488633035483,53.896715306114274,AXJ1531.9+2420,SEYFERT
5432,0136540801,MOS1,S003,5.47348478996604,179.90757194877875,65.02144742185058,Mkn 421 offset,BL LAC
5433,0136540801,MOS2,S006,10.6972018723418,179.90757194877875,65.02144742185058,Mkn 421 offset,BL LAC
5434,0143650901,MOS1,S001,4.2054356067974,150.77409493999798,58.4896396100703,AXJ1115.4+5308,SEYFERT
5435,0143650901,MOS2,S002,4.38750355418683,150.77409493999798,58.4896396100703,AXJ1115.4+5308,SEYFERT
5436,0136340101,MOS1,S002,16.9062209543569,142.19670750856199,-62.920382711671394,Abell 194,CLUSTER OF GALAXIES ABELL CLASS 0
5437,0136340101,MOS2,S003,17.1558203040906,142.19670750856199,-62.920382711671394,Abell 194,CLUSTER OF GALAXIES ABELL CLASS 0
5438,0136340101,PN,S001,12.008522631402801,142.19670750856199,-62.920382711671394,Abell 194,CLUSTER OF GALAXIES ABELL CLASS 0
5439,0142660901,MOS1,S001,4.6813150141484705,281.0617978919616,-31.7698553724686,RXJ0535.5-7026,SUPERSOFT SOURCE
5440,0142660901,MOS2,S002,4.26510054978405,281.0617978919616,-31.7698553724686,RXJ0535.5-7026,SUPERSOFT SOURCE
5441,0142660901,PN,S003,1.0905992579475101,281.0617978919616,-31.7698553724686,RXJ0535.5-7026,SUPERSOFT SOURCE
5442,0135746801,MOS1,S001,2.29530570217656,21.40004104713656,-0.3464424540656651,XGPS_013,EXTENDED GALACTIC OR EXTRAGALACTIC
5443,0135746801,MOS2,S002,2.24507677484779,21.40004104713656,-0.3464424540656651,XGPS_013,EXTENDED GALACTIC OR EXTRAGALACTIC
5444,0135746801,PN,S003,0.43289893291167697,21.40004104713656,-0.3464424540656651,XGPS_013,EXTENDED GALACTIC OR EXTRAGALACTIC
5445,0138951501,MOS1,S002,0.644837046559198,4.350893438269122,36.797339790821475,IRAS15480-0344,SEYFERT RADIO QUIET TYPE 2
5446,0138951501,MOS2,S003,1.05425321450009,4.350893438269122,36.797339790821475,IRAS15480-0344,SEYFERT RADIO QUIET TYPE 2
5447,0138951501,PN,S001,0.5399373976295779,4.350893438269122,36.797339790821475,IRAS15480-0344,SEYFERT RADIO QUIET TYPE 2
5448,0147420401,MOS1,S003,7.03129065132036,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5449,0147420401,MOS2,S006,7.268797944650131,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5450,0147420401,PN,S002,4.19262827826932,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5451,0144840101,MOS1,S001,34.5291991322375,153.47862024554428,31.35301473250367,HT Cam,CV INTERMEDIATE POLAR
5452,0144840101,MOS2,S002,21.790199118219,153.47862024554428,31.35301473250367,HT Cam,CV INTERMEDIATE POLAR
5453,0144840101,PN,S003,6.42889868386889,153.47862024554428,31.35301473250367,HT Cam,CV INTERMEDIATE POLAR
5454,0148000401,MOS1,S001,12.3799697160951,266.98630350133703,-41.9962596297284,1H 0419-577,SEYFERT
5455,0148000401,MOS2,S002,12.629328632094401,266.98630350133703,-41.9962596297284,1H 0419-577,SEYFERT
5456,0148220301,MOS1,S002,11.866014344016099,338.93941466980664,-4.326490808250233,GX 339-4,LMXRB BLACK HOLE
5457,0148220301,MOS2,S003,11.9672372081272,338.93941466980664,-4.326490808250233,GX 339-4,LMXRB BLACK HOLE
5458,0147580301,MOS1,S001,10.0830207385467,98.52197253530198,-39.323850537392076,1AXGJ233200+1945,AGN UNCLASSIFIED
5459,0147580301,MOS2,S002,9.835736848514111,98.52197253530198,-39.323850537392076,1AXGJ233200+1945,AGN UNCLASSIFIED
5460,0147580301,PN,S003,7.87534722316228,98.52197253530198,-39.323850537392076,1AXGJ233200+1945,AGN UNCLASSIFIED
5461,0140950201,MOS1,S001,15.730122186908801,237.66343628884252,-53.96864482820464,NGC1386,SEYFERT RADIO QUIET TYPE 2
5462,0140950201,MOS2,S002,15.7410088320507,237.66343628884252,-53.96864482820464,NGC1386,SEYFERT RADIO QUIET TYPE 2
5463,0140950201,PN,S003,12.2985264521795,237.66343628884252,-53.96864482820464,NGC1386,SEYFERT RADIO QUIET TYPE 2
5464,0145020101,MOS1,S001,22.3369724933527,22.78916445708955,60.49462018841254,A 1991,CLUSTER OF GALAXIES ABELL CLASS 1 WITH COOLING FLOW
5465,0145020101,MOS2,U002,21.317610186841097,22.78916445708955,60.49462018841254,A 1991,CLUSTER OF GALAXIES ABELL CLASS 1 WITH COOLING FLOW
5466,0145020101,PN,S003,13.9552413736,22.78916445708955,60.49462018841254,A 1991,CLUSTER OF GALAXIES ABELL CLASS 1 WITH COOLING FLOW
5467,0147111501,MOS1,S001,1.36047602711264,171.89784773805005,-59.46128035809689,B32,EXTENDED GALACTIC OR EXTRAGALACTIC
5468,0147111501,MOS2,S002,1.47827625254663,171.89784773805005,-59.46128035809689,B32,EXTENDED GALACTIC OR EXTRAGALACTIC
5469,0147111501,PN,S003,0.378001744485471,171.89784773805005,-59.46128035809689,B32,EXTENDED GALACTIC OR EXTRAGALACTIC
5470,0148960101,MOS1,U002,4.98043125977778,312.972424540132,-73.50606468026344,ELAIS-S1-A,X-RAY BACKGROUND
5471,0148960101,MOS1,S001,38.4807090518783,312.972424540132,-73.50606468026344,ELAIS-S1-A,X-RAY BACKGROUND
5472,0148960101,MOS2,S002,39.4425082768268,312.972424540132,-73.50606468026344,ELAIS-S1-A,X-RAY BACKGROUND
5473,0148960101,MOS2,U002,5.24751117310488,312.972424540132,-73.50606468026344,ELAIS-S1-A,X-RAY BACKGROUND
5474,0148960101,PN,S003,32.162949919275,312.972424540132,-73.50606468026344,ELAIS-S1-A,X-RAY BACKGROUND
5475,0143400101,MOS1,S001,2.8946664922791103,308.72984413482783,-0.03460722878849142,PSR B1338-62,SNR COMPOSITE RADIO PULSAR
5476,0143400101,MOS2,S002,2.77223294592335,308.72984413482783,-0.03460722878849142,PSR B1338-62,SNR COMPOSITE RADIO PULSAR
5477,0147040101,MOS1,S001,12.7197532914128,316.3138471176171,28.546079088816892,Abell 3571,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
5478,0147040101,MOS2,S002,14.7520786963333,316.3138471176171,28.546079088816892,Abell 3571,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
5479,0147040101,PN,S003,0.593061764730753,316.3138471176171,28.546079088816892,Abell 3571,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
5480,0148500501,MOS1,S001,5.4548156845021705,118.94681227928055,-6.860838507433983,T Cas,STAR M7
5481,0148500501,MOS2,S002,5.21450263719302,118.94681227928055,-6.860838507433983,T Cas,STAR M7
5482,0148500501,PN,S003,4.62756678538681,118.94681227928055,-6.860838507433983,T Cas,STAR M7
5483,0141170101,MOS1,U002,29.1228399404422,256.30767823389067,26.097519294127693,EIS0954-2023,CLUSTER OF GALAXIES (NON-ABELL)
5484,0141170101,MOS2,U002,28.6331479103364,256.30767823389067,26.097519294127693,EIS0954-2023,CLUSTER OF GALAXIES (NON-ABELL)
5485,0141170101,PN,U002,19.797400400373498,256.30767823389067,26.097519294127693,EIS0954-2023,CLUSTER OF GALAXIES (NON-ABELL)
5486,0142770101,MOS1,S001,17.564886685464497,113.49211795552608,58.004217329379166,NGC 5204 X-1,ULTRA-LUMINOUS X-RAY SOURCE (ULX)
5487,0142770101,MOS2,S002,17.0354956278537,113.49211795552608,58.004217329379166,NGC 5204 X-1,ULTRA-LUMINOUS X-RAY SOURCE (ULX)
5488,0142770101,PN,S003,11.9695563126116,113.49211795552608,58.004217329379166,NGC 5204 X-1,ULTRA-LUMINOUS X-RAY SOURCE (ULX)
5489,0146871101,MOS1,S001,1.1796229420027902,206.1511147616814,-1.0426265289159578,SAX J0635+0521,GAMMA RAY SOURCE
5490,0146871101,MOS2,S002,1.30005196607572,206.1511147616814,-1.0426265289159578,SAX J0635+0521,GAMMA RAY SOURCE
5491,0148960801,MOS1,S001,12.6221336642474,312.71471372980074,-73.16395562038358,ELAIS-S1-B,X-RAY BACKGROUND
5492,0148960801,MOS2,S002,12.717054147037398,312.71471372980074,-73.16395562038358,ELAIS-S1-B,X-RAY BACKGROUND
5493,0148960801,PN,S003,9.47313573634134,312.71471372980074,-73.16395562038358,ELAIS-S1-B,X-RAY BACKGROUND
5494,0143630501,MOS1,S001,8.30579301522205,315.7331930401092,-0.6806333468166446,Alpha Cen,STAR G2V
5495,0143630501,MOS2,S002,8.542327454995029,315.7331930401092,-0.6806333468166446,Alpha Cen,STAR G2V
5496,0146870301,MOS1,S001,1.0517289268082,206.1511147616814,-1.0426265289159578,SAX J0635+0521,GAMMA RAY SOURCE
5497,0143650701,MOS1,S001,1.52590710644473,37.22298374482602,53.73884053674409,AXJ1532.3+2401,SEYFERT
5498,0143650701,MOS2,S002,1.82860259348478,37.22298374482602,53.73884053674409,AXJ1532.3+2401,SEYFERT
5499,0143650701,PN,S003,0.755180331615349,37.22298374482602,53.73884053674409,AXJ1532.3+2401,SEYFERT
5500,0147511601,MOS1,S001,83.7439335346318,149.27994480337554,53.146142911411296,Lockman Hole,X-RAY BACKGROUND
5501,0147511601,MOS2,S002,85.61306133521481,149.27994480337554,53.146142911411296,Lockman Hole,X-RAY BACKGROUND
5502,0147511601,PN,S003,49.7674792410468,149.27994480337554,53.146142911411296,Lockman Hole,X-RAY BACKGROUND
5503,0142610101,MOS1,U002,33.1633085034951,178.6612822379297,-47.67247110685744,S2F1a,QSO RADIO QUIET TYPE 2
5504,0142610101,MOS2,U002,33.415666632188795,178.6612822379297,-47.67247110685744,S2F1a,QSO RADIO QUIET TYPE 2
5505,0142610101,PN,S003,20.068308884691703,178.6612822379297,-47.67247110685744,S2F1a,QSO RADIO QUIET TYPE 2
5506,0143250101,MOS1,S001,19.817202605012,326.230448132613,-44.109180395215034,HD 209295,STAR F0V
5507,0143250101,MOS2,S002,20.5700649995363,326.230448132613,-44.109180395215034,HD 209295,STAR F0V
5508,0143250101,PN,S003,15.5951743255492,326.230448132613,-44.109180395215034,HD 209295,STAR F0V
5509,0148060201,MOS1,S002,1.58176533545392,41.14557875423311,-52.847760446851396,BPS CS 22892-052,STAR K2
5510,0148060201,MOS2,S009,2.29125133457959,41.14557875423311,-52.847760446851396,BPS CS 22892-052,STAR K2
5511,0148060201,PN,S001,2.0368852559806903,41.14557875423311,-52.847760446851396,BPS CS 22892-052,STAR K2
5512,0141980101,MOS1,S001,5.75123148830677,133.40952941212737,-31.27180054028901,M33_10,SPIRAL GALAXY MIXED
5513,0141980101,MOS2,S002,6.15643578943362,133.40952941212737,-31.27180054028901,M33_10,SPIRAL GALAXY MIXED
5514,0141980101,PN,S003,3.4661568308519,133.40952941212737,-31.27180054028901,M33_10,SPIRAL GALAXY MIXED
5515,0147580501,MOS1,S001,4.15174488521351,37.72667122253576,79.29486407193764,1AXGJ133937+2730,AGN UNCLASSIFIED
5516,0147580501,MOS2,S002,3.97110390671893,37.72667122253576,79.29486407193764,1AXGJ133937+2730,AGN UNCLASSIFIED
5517,0147580501,PN,S003,2.37441421845387,37.72667122253576,79.29486407193764,1AXGJ133937+2730,AGN UNCLASSIFIED
5518,0136030201,MOS1,S009,14.0254405064941,38.550162881063535,-0.00030036977659604754,G38.55+0.0,SNR SHELL
5519,0136030201,MOS2,S010,13.3662763533872,38.550162881063535,-0.00030036977659604754,G38.55+0.0,SNR SHELL
5520,0136030201,PN,S008,5.9733309876266105,38.550162881063535,-0.00030036977659604754,G38.55+0.0,SNR SHELL
5521,0147210101,MOS1,S002,3.3570052664583,31.587880968686065,44.52145778198543,Abell 2151,CLUSTER OF GALAXIES ABELL CLASS 2
5522,0147210101,MOS2,S003,3.71144057718596,31.587880968686065,44.52145778198543,Abell 2151,CLUSTER OF GALAXIES ABELL CLASS 2
5523,0147210101,PN,S001,1.3755710900307399,31.587880968686065,44.52145778198543,Abell 2151,CLUSTER OF GALAXIES ABELL CLASS 2
5524,0140210101,MOS1,S001,30.3385123257835,217.4722194177458,-33.656411897792715,RXCJ0454-1808,CLUSTER OF GALAXIES
5525,0140210101,MOS2,S002,30.7478592585656,217.4722194177458,-33.656411897792715,RXCJ0454-1808,CLUSTER OF GALAXIES
5526,0140210101,PN,S003,25.516223320958698,217.4722194177458,-33.656411897792715,RXCJ0454-1808,CLUSTER OF GALAXIES
5527,0135940101,MOS1,S002,13.6909866000618,71.59450545650188,84.75548863133086,AXJ131021+3019,AGN UNCLASSIFIED
5528,0135940101,MOS2,S003,14.000139351297799,71.59450545650188,84.75548863133086,AXJ131021+3019,AGN UNCLASSIFIED
5529,0135940101,PN,S001,10.997952757089301,71.59450545650188,84.75548863133086,AXJ131021+3019,AGN UNCLASSIFIED
5530,0138951401,MOS1,S002,6.58555553925894,181.7552359353961,30.85410163080612,UGC4229,SEYFERT RADIO QUIET TYPE 2
5531,0138951401,MOS2,S003,6.53220252234291,181.7552359353961,30.85410163080612,UGC4229,SEYFERT RADIO QUIET TYPE 2
5532,0138951401,PN,S001,4.63687127168438,181.7552359353961,30.85410163080612,UGC4229,SEYFERT RADIO QUIET TYPE 2
5533,0135747001,MOS1,S001,6.15866639698309,20.416391403956712,0.0005601508954429426,RIDGE_4,X-RAY BACKGROUND
5534,0135747001,MOS2,S002,6.15949327667561,20.416391403956712,0.0005601508954429426,RIDGE_4,X-RAY BACKGROUND
5535,0135747001,PN,S003,1.0769391888951099,20.416391403956712,0.0005601508954429426,RIDGE_4,X-RAY BACKGROUND
5536,0141980401,MOS1,S001,4.62024088799721,133.4857771906735,-31.137320039486898,M33_3,SPIRAL GALAXY MIXED
5537,0141980401,MOS2,S002,7.2999363446325,133.4857771906735,-31.137320039486898,M33_3,SPIRAL GALAXY MIXED
5538,0141980401,PN,S003,9.22623868637722,133.4857771906735,-31.137320039486898,M33_3,SPIRAL GALAXY MIXED
5539,0147420301,MOS1,S003,1.9981917949721302,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5540,0147420301,MOS2,S006,0.93277600328511,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5541,0147420301,PN,U014,0.049672032885470896,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
5542,0147420301,PN,S002,0.165525455558926,20.729057028298463,27.29068423810508,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
